PubMed ID,allele,order ID,EMMA ID,comment
26590424,Ccnyl1<tm1a(EUCOMM)Wtsi>,2605,,Paola EMMA mentioned
26619789,Rbfox3<tm1a(EUCOMM)Hmgu>,4813,,Paola EMMA mentioned
26660102,Slc20a2<tm1a(EUCOMM)Wtsi>,4001,,Paola EMMA mentioned
26822507,Slc20a2<tm1a(EUCOMM)Wtsi>,5150,,Paola EMMA mentioned
26903602,Cgas<tm1a(EUCOMM)Hmgu>,5217,,Paola EMMA mentioned
26952749,Slc20a2<tm1a(EUCOMM)Wtsi>,5150,,Paola EMMA mentioned
27048792,Ndfip2<tm1a(EUCOMM)Hmgu>,3560,,Paola EMMA mentioned
27053112,Aldh3a2<tm1a(EUCOMM)Wtsi>,3162,,Paola EMMA mentioned
27147664,Tnfrsf1b<tm1a(EUCOMM)Wtsi>,3251,,Paola EMMA mentioned
27203244,Ccnyl1<tm1a(EUCOMM)Wtsi>,3754,,Paola EMMA mentioned
27381259,Cpeb4<tm1a(EUCOMM)Wtsi>,2777,,Paola EMMA mentioned
27502165,Dock10<tm1a(EUCOMM)Hmgu>,3587,,Paola EMMA mentioned
27721407,Hdac1<tm1a(EUCOMM)Wtsi>,3696,,Paola EMMA mentioned
27943094,Slc20a2<tm1a(EUCOMM)Wtsi>,4001,,Paola EMMA mentioned
28052249,Tnfrsf1b<tm1a(EUCOMM)Wtsi>,3251,,Paola EMMA mentioned
28363983,Syt1<tm1a(EUCOMM)Wtsi>,5123,,Paola EMMA mentioned
28507547,Dock10<tm1a(EUCOMM)Hmgu>,2918,,Paola EMMA mentioned
28791750,Hdac1<tm1a(EUCOMM)Wtsi>,5605,,Paola EMMA mentioned
29031721,Cdkal1<tm2a(EUCOMM)Wtsi>,5467,,Paola EMMA mentioned
29131158,Atp2a2<tm1a(EUCOMM)Hmgu>,7195,,Paola EMMA mentioned
29180567,Uhrf1<tm1a(EUCOMM)Wtsi>,4240,,Paola EMMA mentioned
24367259,1700016L21Rik<Tg(Itgax-DTR/EGFP)57Lan>,1012,,Anna de Castro (user publications)
24367259,Cx3cr1<tm1Litt>,3226,,Anna de Castro (user publications)
22174255,1700016L21Rik<Tg(Itgax-DTR/EGFP)57Lan>,1384,,Anna de Castro (user publications)
22080953,1700016L21Rik<Tg(Itgax-DTR/EGFP)57Lan>,999,,Anna de Castro (user publications)
18575457,Cx3cr1<tm1Litt>,327,,Anna de Castro (user publications)
19259262,Cx3cr1<tm1Litt>,877,,Anna de Castro (user publications)
23001583,Cx3cr1<tm1Litt>,1901,,Anna de Castro (user publications)
