Gene_symbol,Allele_symbol,Reference,PMID
Gm12253,Gm12253<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gm13119,Gm13119<tm2b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gm13125,Gm13125<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gm16432,Gm16432<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gm16515,Gm16515<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gm5544,Gm5544<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gmds,Gmds<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gmnc,Gmnc<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gnb3,Gnb3<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gpbp1l1,Gpbp1l1<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gpr152,Gpr152<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gpr35,Gpr35<tm1b(EUCOMM)Hmgu>,Abeler-Dörner et al. 2020,PMID: 31844327
Grb7,Grb7<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Grsf1,Grsf1<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gsdme,Gsdme<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gsto2,Gsto2<tm2a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gt(ROSA)26Sor,Gt(ROSA)26Sor<ROSA26_Dre_C03>,Abeler-Dörner et al. 2020,PMID: 31844327
Gtf2a1,Gtf2a1<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Gtf2h2,Gtf2h2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
H13,H13<tm1b(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Hao2,Hao2<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Hbs1l,Hbs1l<tm1a(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Hecw2,Hecw2<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Herc1,Herc1<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Herc1,Herc1<em2(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Herc1,Herc1<em3(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Hibadh,Hibadh<tm1b(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Hmgxb3,Hmgxb3<tm1a(EUCOMM)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Homez,Homez<tm1e(KOMP)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Hpf1,Hpf1<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
Hrnr,Hrnr<em1(IMPC)Wtsi>,Abeler-Dörner et al. 2020,PMID: 31844327
